Energy_eV,X_mm,Y_mm,Z_mm
2.82366,470,-95.9002,-1.67111e-14
2.94091,470,-96.8316,-1.67525e-14
1.93239,470,-90.0491,-1.64528e-14
2.46099,470,-93.2775,-1.6595e-14
2.47443,470,-93.3677,-1.6599e-14
2.12407,470,-91.1493,-1.65012e-14
1.93311,470,-90.0531,-1.6453e-14
2.08723,470,-90.9323,-1.64916e-14
2.09259,470,-90.9636,-1.6493e-14
2.72571,470,-95.1554,-1.66781e-14
1.96412,470,-90.2265,-1.64606e-14
1.80912,470,-89.3754,-1.64232e-14
2.04597,470,-90.6925,-1.64811e-14
3.08952,470,-98.0741,-1.68078e-14
2.11525,470,-91.0971,-1.64989e-14
2.11405,470,-91.09,-1.64986e-14
1.9329,470,-90.052,-1.64529e-14
2.90245,470,-96.522,-1.67387e-14
2.23216,470,-91.8029,-1.653e-14
2.81171,470,-95.8077,-1.6707e-14
2.00308,470,-90.4467,-1.64703e-14
2.93377,470,-96.7741,-1.67499e-14
2.27013,470,-92.0388,-1.65404e-14
1.95454,470,-90.1729,-1.64582e-14
2.00819,470,-90.4759,-1.64716e-14
2.61846,470,-94.3709,-1.66434e-14
1.85627,470,-89.6304,-1.64344e-14
2.81333,470,-95.8201,-1.67076e-14
2.4334,470,-93.0921,-1.65868e-14
2.37304,470,-92.6952,-1.65693e-14
2.09867,470,-90.9992,-1.64946e-14
1.95319,470,-90.1653,-1.64579e-14
2.6241,470,-94.4111,-1.66452e-14
2.39865,470,-92.8628,-1.65767e-14
2.93281,470,-96.7664,-1.67496e-14
2.20576,470,-91.6407,-1.65228e-14
2.51393,470,-93.6375,-1.66109e-14
2.60886,470,-94.3024,-1.66403e-14
2.4265,470,-93.0464,-1.65848e-14
2.77118,470,-95.4978,-1.66933e-14
2.89929,470,-96.4965,-1.67376e-14
1.95552,470,-90.1784,-1.64585e-14
3.04045,470,-97.6565,-1.67892e-14
1.97047,470,-90.2622,-1.64622e-14
2.32657,470,-92.3956,-1.65561e-14
3.06079,470,-97.8296,-1.67969e-14
1.97862,470,-90.3082,-1.64642e-14
1.80504,470,-89.3535,-1.64222e-14
2.14381,470,-91.2666,-1.65063e-14
2.25141,470,-91.9217,-1.65352e-14
2.50282,470,-93.5615,-1.66076e-14
2.49696,470,-93.5213,-1.66058e-14
2.40416,470,-92.899,-1.65783e-14
1.99894,470,-90.4231,-1.64692e-14
2.00575,470,-90.4619,-1.64709e-14
2.30273,470,-92.2437,-1.65494e-14
1.84431,470,-89.5654,-1.64316e-14
2.53284,470,-93.7674,-1.66167e-14
2.96509,470,-97.0292,-1.67613e-14
1.95248,470,-90.1613,-1.64577e-14
2.97131,470,-97.0806,-1.67636e-14
2.25543,470,-91.9466,-1.65363e-14
2.88805,470,-96.4061,-1.67336e-14
2.91607,470,-96.6317,-1.67436e-14
3.07401,470,-97.9421,-1.68019e-14
2.03968,470,-90.6562,-1.64795e-14
1.9364,470,-90.0714,-1.64538e-14
2.07324,470,-90.8505,-1.6488e-14
1.87173,470,-89.7147,-1.64381e-14
2.14707,470,-91.2862,-1.65072e-14
2.68474,470,-94.8514,-1.66647e-14
2.37296,470,-92.6946,-1.65693e-14
1.98302,470,-90.3331,-1.64653e-14
